review,sentiment
i had a recent spectator experience with the perfect witness because the netflix computer recommendation engine suggested i watch this film apparently at some point i told it how much i liked michael haneke s benny s video i don t know about you but this parallel being drawn provoked in me a maelstrom of emotion and excitement over thomas c dunn s film and made the allocation of my time toward it virtually impossible to refuse just this kind of recommendation from the netflix computer intelligence for me had the aesthetic moral movie bar set to level so high that upon reflection it represented something pretty much unaccomplished in every film produced in the year having prefaced my response to the film that way i m going to proceed in knocking this picture down as poorly executed and banal and i really hate to do that because i think our boy wes bentley happens to be not only one of the most interesting young faces in contemporary cinema but also one its most overlooked and underrated screenacting talents in the us i m more than moderately concerned that the poor guy s going to miss the fame ship if he keeps fiddling around with first time movie directors like this the perfect witness is about micky wes bentley who about thirty still lives with mom you re not drinkin again area ya s but he s a filmmaker or at the very least some kind of street level voyeur with a pension for shooting would be johns in the seedy back alleys of philadelphia with his dvx b out there doing his private investigator like drills micky inadvertently video tapes a brutal murder on a hapless early twenty ish coed with his hand held camcorder baring the notion in mind that snuff and movies as cultural currency can be his equated with his ticket out of the white urban ghetto and not to the debts of his unwitting friends and relatives who put up the money for his atrocious films micky approaches the assailant james lemac mark borkowski also takes a writing credit or mac the knife whichever and blackmails the killer into making a documentary about his murder impulses holding this found footage over the attacker with threats of the police the problem with this movie is not that no interesting ideas exist because they do while both the writing and direction are amateurish that alone doesn t make a film bad it s that these guys commit a rather poor assumption that what they are presenting is shocking in the context of a culture in which just about any person in the free world with access to a private computer can log on to the web and catch the veracity of the action of a beheading on their little mac or pc no film relies on shock value alone any more unless of course ironically it s a film about torture on animals and therefore cinematic images of violence real or fake have less and less cultural capital with each year that passes also we ve got this astounding actor talent in the lead all styled up real hip guy his two inch beard and skull cap with the little bill on it backwards just like the dork from high school who craved after the potential services of my primary love interest same guy who just now calls himself a poet spare me i m an artist i m a filmmaker okay please do carry on with that shtick cronnie seems to have bought you a lot of expensive mm stock and go ahead you can wear all the accrutements of a creative but don t expect us top respond to you to follow your below average character through your two hour movie while you take down wes bentley s career why don t we just let history speak to the merits of what you do filmmaker guy my guess is history will eventually have say something about that like probably that s in not is good as you think it is and yeah odds are you ll be laying the blame on your dear ole ma end up like our man micky here in the perfect witness hooked on smack and covered in your buddy s blood with a video camera in your hand great,0
i really enjoyed the detail that went into the script jonathan rhys myers misspelled and jewel were outstanding in their support roles as was jeffery wright toby mcguire gave as fine a acting job as ever depicted when he had to amputate his best friend s arm knowing he would die without the procedure attention to detail with good dialect coaching to catch the southern accent incredibly well why this movie was swept under the rug by the hollywood promoters i can only imagine i have strong suspicions which makes it all the more appealing to me i have given a dozen dvd copies out for presents completely overlooked movie rent or buy it and give it your full attention for a couple of hours then judge,1
didn t the writer for this movie see the other three i loved the original i thought was the best i tolerated it was ok nothing special but i hated this one who dare they kill off ug this was certainly not the ug who had been almost like a brother to charlie in number remember his speech charlie said you wouldn t just leave me on earth would you ug replied charlie bounty hunter saying that he was now one of them now how dare the writers ignore this special bond between them and turn him into a baddie who get s killed by charlie in a particularly awkward scene just because they realized the movie was getting boring in fact for the first minutes we get a new cast and have to wait this long until we again find out what happened to charlie who was the hero we ve been waiting to see i kept waiting saying come on when s charlie going to appear angela basset must be doing her best to deny she was ever in this turkey moving it to the future eliminates the possibility of ever seeing a sequel with the original cast or in our time i think the writers decided that their movie was going to be the last and they could do whatever they wanted this movie is totally out of line with the first two and it didn t even seem like it was written by the same people who made at least had humor and could easily be seen by younger children is just ugly and mean spirited eric dare is particularly cruel and unnecessary i hated this movie hated hated hated it i hated the fact that anyone could like it and i hated the fact that it ruined what was one of my favorite camp classics i give this a one start simply because imdb com won t let me give it a zero,0
this movie was really bad first they didn t even follow the facts for it half of the movie was made up and it was more about the deputy whose mother was one of ed gein s victims the acting was horrible except for the guy playing ed gein but its not hard to mess up playing a weird guy though i think it was horrible i gave it a three because they started it off with actual crime photos that was the best part of the movie as soon as the introduction of the movie was finished the movie went downhill the writer of this movie tried to spice it up but it didn t need to be the story of ed gein is interesting enough without falsifying information,0
i think i watched a highly edited version because it wasn t nearly as graphic as i expected based on the other reviews that i have heard other than being written by the same person who wrote the original emmanuelle emmanuelle arsan the lead character being a sexually free spirit and being set in the exotic locale of asia laure doesn t have the same flair as its predecessor i just found this film way too talky with philosophical topics that i m really not that interested in i e the voyeuristic open relationship between laure and nick i m just happy with whatever brings her pleasure something along those lines i cannot relate to this mentality and the film characters don t really shed any light the second half about finding the mara tribe just seemed as though it were a completely separate film one that i didn t care for by that time i was just hoping that it would turn into a porn so that at least it would keep my interest maybe i just didn t get it i ll leave it at that,0
uwe boll has done the impossible create a game adaptation that stays at least somewhat true to the game he has turned a game full of antisocial and offensive content into a movie full of antisocial and offensive content so as an adaptation it s a success unfortunately it s still uwe boll we are dealing with here so don t expect the movie to be actually any good while it does have it s moment postal wears out his welcome very fast and becomes a pain to sit through at its core postal is a satire on the united states as done by a twelve year old kid boll seems to think that offensiveness is linearly proportional to comedic value the more offensive the funnier and the more exaggerated the funnier this results in a movie that sets new levels of tastelessness while being extremely hit and miss yes some gags do work but it seems to be pure luck high points include the director satirizing himself and people getting hit very violently by trucks and other vehicles low points include well pretty much everything else after the initial surprise wears off postal simply becomes a bore to watch yes there is a good joke every and good point ten minutes but everything else consists of hordes of annoying characters shooting and chasing each other all over the place for what seems to be an eternity this probably would have worked as a short movie but it s just not enough content for something that lasts over minutes although it feels twice as long there are nice ideas and nice tries but they get hopelessly lost in endless and pointless action scenes and content that is offensive just for the sake of it,0
i felt asleep watching it and i had tickets for the midnight premiere any questions the most disturbing scene as far as i can remember was the techno dance i dont know what that was scene by the way what an ending,0
brass pictures movies is not a fitting word for them really are somewhat brassy their alluring visual qualities are reminiscent of expensive high class tv commercials but unfortunately brass pictures are feature films with the pretense of wanting to entertain viewers for over two hours in this they fail miserably their undeniable but rather soft and flabby than steamy erotic qualities non withstanding senso is a remake of a film by luchino visconti with the same title and alida valli and farley granger in the lead the original tells a story of senseless love and lust in and around venice during the italian wars of independence brass moved the action from the th into the th century to be exact so there are mussolini murals men in black shirts german uniforms or the tattered garb of the partisans but it is just window dressing the historic context is completely negligible anna galiena plays the attractive aristocratic woman who falls for the amoral ss guy who always puts on too much lipstick she is an attractive versatile well trained italian actress and clearly above the material her wide range of facial expressions signalling boredom loathing delight fear hate and ecstasy are the best reason to watch this picture and worth two stars she endures this basically trashy stuff with an astonishing amount of dignity i wish some really good parts come along for her she really deserves it,0
my interest was raised as i was flipping through and saw the name iphigenia my name is eugenia so i thought ok lets see what this is i am so glad i stayed on the channel what a wonderful wonderful story drama sadness some over the top acting but a wonderful time to be had i watch this and it makes me sad for all the drivel the movie industry puts out and these beautiful little gems get passed over give iphigenia a try and i hope you will enjoy it as much as i did i have even gotten my children and to enjoy it it starts slow however the drama builds and you will be drawn in to the story watching this lovely film made me want to shroud myself in more greek tragedy and pathos,1
pity the monkees people always accused them of being manufactured which they were or being nothing more than a american knock off of the beatles again which they were but to the kids of the time they were real they were important they were legitimate discussions about who were better the monkees or the beatles were common on school yards but the critics well they never quite bought into it despite recording some very catchy classic pop tunes the monkess did not receive much respect for their albums sadly a similar fate was met by their one movie vehicle despite the fact that it stands as the best band film ever beatle fans may argue that hard days night was better and i am sure that many of the kids think mile was superior but none of these films were as daring and inventive as head and that is probably why it failed if head had told a direct a to b type story perhaps it would have appealed to the bands young fans but by pushing the envelope and using the movie opportunity to mock their own image they really sabotaged the film with their fans could you imagine eminem turning to the camera and actually talking about how sad it is that he is the best selling guy in a genre in which only and i am being generous of the acts are white if you can picture that than you have an idea how daring it was for the monkess to sing hey hey we are the monkees you know we like to please a manufactured image with no philosophy when you have a film in which frank zappa tells davy that he should focus less on the dancing and more on the music its clear that there is a lot more going on then you expected the story what there is concerns the boys trying to flee their manager who at one point forces them to play dandruff in a commercial but every time they run away they end up inside a box i don t think you need to be fellini to figure out the symbolism of that bit some neat little comedy bits follow with davy as a boxer who has to give up playing the violin to take a dive in the big match and peter refusing to throw away a ice cream cone he does not want because there are starving children so its wrong to waste food but the real selling point to this film is the music and its some of the best the band ever recorded even if you are put off by the story you can sit back and enjoy some terrific music any film that begins and ends with mickey attempting suicide by jumping off a bridge at the end the band follows him is never going to be a mainstream classic but if you are a fan of either the band or experimental cinema of the era than you will enjoy this film,1
love jones cleverly portrays young african american men and women in a clear positive realistic sense i feel that all of the actors and actresses were magnificent and really did a great job at capturing the mood nia long and larenz tate worked well together and i hope to see more work from the two of them as a matter of fact all of the actors actresses did such a fine job it would be great to see another romantic comedy from them this movie can be compared to most any well written romantic comedy if you have not seen this movie already i strongly recommend that you do it can definitely give you another perspective on life and love,1
this film is terrible honestly the acting is terrible the script made me cringe the effects are completely lousy which i usually don t mind for older films but this was made just two years ago and everything about it just annoys me a few friends go out on halloween into the woods and meet a witch and her cannibal son of course before that it has the clich you really believe that ha ha ha it s just a story routine dragged out for a while the witch s cannibal son was made a retard i don t know if it was for comedy or to make it creepy but this film failed at both it has minimal gore and no nudity which made a bad film even worse heck the only good thing about this film is the leg eating scene and even that could of been better honestly don t even waste your time watching it on cable and certainly don t consider buying or renting this else you ll be kicking yourself for wasting time which could of been spent doing something more constructive or entertaining,0
this is a funny film and i like it a lot cary elwes plays robin hood to a tee this is of course the usual good vs evil with robin against the evil sheriff of nottingham the humor is sort of in your face stuff for the most part but still works well a comedy for a night when you don t want to have to think much it s well worth a rent,1
this movie makes me want to fall in love all over again i am naming my next daughter adelaide just so that someone who sings like ol blue eyes can swoon her one day and feel the butterflies i felt hearing it sung and it wasn t even to me i give it a,1
all day now i ve been watching dinosaurs and all day they ve had the same fundamental problem they don t believe in firearms they just don t seem to have been told about them or something bullets bounce off of dinosaurs maybe it s because they became extinct millions of years before the invention of gunpowder and the laws of physics were just different back then aah no come on if they re close enough to chemically operate today they d have to be vulnerable to fast even subsonic lead projectiles it s that simple look the toughest skinned reptiles on the planet today alligators and crocodiles are completely vulnerable to basic rifle fire they re nothing magic you can shoot a pistol round right through the heavy scales on their backs they don t take armor piercing bullets or anything special small bullets penetrate them they just don t kill them somewhat but not really large bullets are preferred because the challenge as with most game is to kill the animal with one shot so it doesn t run hunters consider it immoral to allow prey to run off and die unharvested most animals including predators are easily repelled by gunfire between the noise and the pain of even a non lethal wound most will run away an exception are big bears which are so fearless that they re merely enraged by mortal wounds cape buffalo are regarded as highly dangerous because they are well known to charge when wounded we ve seen video of the big bulls of a herd of cape buffalo rescuing a calf from an entire pride of lions a big cat will run if it can but if it can t it will charge as a final act of desperation where a t rex would fit in this spectrum is unknown their behavior simply has not been observed with these larger animals safe hunting becomes a matter of applying an appropriately large and powerful projectile and or applying several of them rapidly enough to counter its charge with a t rex of course this could be a serious problem i ve seen a t rex skull they have one in the museum downtown and carrying a gun big enough to bust that might be impractical chewing its neck off with lots of smaller fire might be a more viable approach small bullets would still penetrate them they wouldn t just bounce off just because the animal is too big to easily kill so here we have cortez and his men this is before the famous mexican campaign apparently captured by american natives and scheduled for sacrifice on the pyramid it appears that all those human sacrifices were about appeasing the bloodthirst of the pair of t rexes that terrorized the continent in the day rather than just having their hearts cut out and being fed to the lizards cortez et al talk the aztecs into letting them hunt kill them ok maybe they don t have m s like the guys in the carnosaur series but they do have flintlocks crossbows pointed sticks big ones made from trees and swords maybe that s a little less uneven than squads of soldiers with full auto but they ve several guys and i d quickly bet on them over a dinosaur oh wait there s a cannon about a incher that s just the ticket for busting a tyrannosaurus skull so they lay a trap with a squad of men cannon pointed sticks in a ravine and lure the first t rex into it using a pretty brown girl as bait cortez points out that they ll not have time to reload so they ll have to close the range until they can be certain of their aim t rex totally ignores their volley of flintlock fire and we see both a crossbow bolt and the cannon ball bounce off forget it end of credibility a crossbow bolt would defeat cortez torso armor and a cannon ball might penetrate the hull of a wooden ship this would also certainly get through the hide ribcage or skull of any animal ever to walk this planet do you think a whale could withstand a cannon ball and here s t rex still standing not even bleeding so cortez lures it to the ravine where it falls onto the pointed sticks which i guess by magic penetrate it and kill it yaaay pointed sticks the dinos aren t completely invulnerable to gunfire they manage to put out an eye of the second one with a pistol this runs it off so it s not as mean as a bear or a buffalo at least in the movies they kill the second dinosaur with a bomb made from a gourd filled with gunpowder and gemstones my money would still be on the cannon it s engineered function is to concentrate all the gunpowder s energy in one direction toward the target a bomb is a much more diffused application of force a real bomb not a gourd bomb has a steel casing which contains the explosion to extremely high pressure think pipe bomb vs firecracker a pile of gunpowder set on fire will simply go poof trust me on that one,0
i have lost count as to how many times i have watched this movie i ve never grown tired of it since this is a movie that can be enjoyed and interpreted on so many levels they just don t make movies like this anymore after recently finally watching the riveting documentary on the making of this film hearts of darkness a filmmakers journey into madness i m even more amazed that this film even got finished yet alone turn out so great the fact that they actually filmed this movie in the jungles of the phillipines is the film s greatest asset you actually feel like your in vietnam all of the actors are fantastic with my favorites still being robert duvall i love the smell of napalm in the morning martin sheen and the great marlon brando a lot of people complain that the film gets too murky weird and cerebral near the end well remeber what coppolla said about this movie this film is not about vietnam it is vietnam what he means is that this film is about madness and not the war this movie is based on the short story heart of darkness by joseph conrad and is set against the vietnam war instead of the civil war as in the book i think that was a brilliant combination in my opinion this is perfect challenging film that is dark violent humorous at times and well done in every single possible way a true classic rating,1
like several other reviewers here i m surprised to see many negative reviews on this film dan o bannon s previous effort was the groundbreaking alien of because it and star wars introduced the stylistic approach of used or dirty space in art direction for these kinds of features doesn t mean that this was the only way to produce them rather than dismiss lifeforce out of hand as a sort of schlock and primitive exploitation feature it s important to recognize that the film draws upon the esteemed traditions of british horror and science fiction specifically hammer and american international features like quatermass specifically quatermass and the pit doctor who and the day of the triffids if not the works of gerry anderson ufo space and thunderbirds but none of these influences would be a surprise if other reviewers recognized writer o bannon s genre scholarly appreciation for queen of blood and it the terror from beyond space the immediate sources for alien granted this film has some legacy elements but perhaps it s worth comparing this film to its more immediate peers s an american werewolf in london and the company of wolves other s films that share a looking back while they adapt those stories to the s zeitgeist all three films drew on earlier incarnations of the same but substantially sexed up their themes because they could and at the same time they recognized the tongue in cheek humorous aspects of their projects neil jordan s wolves played to many of the psychoanalytic memes floating around at the during the s while american werewolf curdled its theme as a coming of age film it s called artistic license and the adaptations of these three films are no less valid than the latter day dramedy inherent in the scream franchise i know what you did last summer and final destination but these teen targeted films seem to be part of a box office trend whereas the s films like lifeforce belong a canon of british sci fi even if this one was written by an american in many ways this film holds up much better than latter day disaster and alien invasion flicks independence day armageddon deep impact in that the solutions don t reside in gun battles weaponized payloads and testosterone at the opposite end of the pole it is unfortunate that steven soderbergh and james cameron didn t examine tarkowski and lem more closely before they remade solaris the goal of this film was fun not ponderousness or stupidity,1
film version of sandra bernhard s one woman off broadway show is gaspingly pretentious sandra spoofs lounge acts and superstars but her sense of irony is only fitfully interesting and fitfully funny her fans will say she s scathingly honest and that may be true but she s also shrill with an unapologetic in your face bravado that isn t well suited to a film in this genre she doesn t want to make nice and she s certainly not out to make friends and that s always going to rub a lot of people the wrong way but even if you meet her halfway her material here is seriously lacking filmmaker nicolas roeg served as executive producer and though not directed by him the film does have his chilly detached signature style all over it bernhard co wrote the show with director john boskovich their oddest touch was in having all of sandra s in house audiences looking completely bored a feeling many real viewers will most likely share from,0
spoken like a true hard boiled u an gangsta the story is no worse than any number of gangster flicks but never ever confuse this movie with the godfather i or ii or goodfellas it is not in the same league but what makes the film periodically painful to watch is all these italian americans swaggering around dropping bad gangsta lines in an even worse fake u an accent pacino would have been great if they could just have dubbed him i was looking forward to see abrahams and loggia but their steenky accents spoiled the fun ah well the script ain t too hot either don corleone would have made this disappear five minutes after meeting him smiling and patting him on the back all the while,0
i think it was an overrated pg crap at least brittany snow s performance was good and some others like idris elba were good too but some others teens in the prom like the leads friends were not that convincing the killer was so dumb and looked so stupid too the deaths were stupid boring and completely unoriginals the movie was very boring too and very overrated it wasn t suspenseful at all i almost fall asleep its another bad pg remake its really a dreadful movie imo the ending was so stupid and the climax was very rushed and boring the movie is pretty slow too overall the only good thing about this crap fest is maybe brittany snow i think she gave a good performance and idris elba too but besides that it was a completely dreadful movie and horrible remake well thats just my opinion i gave it a,0
this movie is good for entertainment purposes but it is not historically reliable if you are looking for a movie and thinking to yourself oh i want to learn more about custer s life and his last stand do not rent they died with their boots on but if you would like to watch a movie for the enjoyment of an older western film with a little bit of romance and just for a good story this is a fun movie to watch the story starts out with custer s errol flynn first day at west point everyone loves his charming personality which allows him to get away with most everything the movie follows his career from west point and his many battles including his battle in the civil war the movie ends with his last stand at little big horn in between the battle scenes he finds love and marriage with libby olivia de havilland errol flynn portrays the arrogant but suave george armstrong custer well olivia de havilland plays the cute sweet libby very well especially in the flirting scene that custer and libby first meet their chemistry on screen made you believe in their romance the acting in general was impressive especially the comedic role although stereotypical of callie played by hattie mcdaniel her character will definitely make you laugh the heroic war music brought out the excitement of the battle scenes the beautiful costumes set the tone of the era the script at times was corny although the movie was still enjoyable to watch the director s portrayal of custer was as a hero and history shows this is debatable some will watch this movie and see custer as a hero others will watch this movie and learn hate him i give it a thumbs up for this western film,1
i vaguely remember this film i do remember it for the one solid reason that it is the only film that i have ever walked out on and since then i have never seen it available to rent anywhere i can t spoil it for anyone cos i can barely remember it to think looking at the cast it seemed a winner with john landis directing but good god they must have been paid a whole lot for this drivel all i can seem to recall is that the dad goes missing and the family try to search for him by trying to put an actual photograph into the disc drive of a computer i walked out after about half an hour of this i must confess though i d love to see if i can get a copy just to see if it really was that bad it wouldn t surprise me if this was on every actor s black list i mean christopher lee was in this the legend of all bad guys who d been in star wars and lord of the rings as i said black listed movie the stupids,0
